Date,Open,High,Low,Close,Adj Close,Volume
2019-10-02,92.379997,92.449997,91.389999,91.980003,91.003464,3384300
2019-10-03,91.930000,93.120003,91.750000,92.870003,91.884018,6634500
2019-10-04,93.050003,93.470001,92.980003,93.430000,92.438072,2189400
2019-10-07,93.000000,93.690002,92.849998,93.230003,92.240196,3667600
2019-10-08,93.120003,93.500000,92.290001,92.739998,91.755394,3108100
2019-10-09,93.669998,93.669998,92.800003,92.919998,91.933479,4166000
2019-10-10,92.879997,93.250000,92.550003,93.070000,92.081894,3719700
2019-10-11,93.410004,93.779999,92.980003,93.029999,92.042313,3376300
2019-10-14,93.139999,93.290001,92.720001,93.070000,92.081894,1877600
2019-10-15,93.150002,93.290001,92.559998,93.190002,92.200623,3218500
2019-10-16,93.139999,93.220001,92.620003,93.199997,92.210510,3413900
2019-10-17,93.389999,93.959999,93.250000,93.809998,92.814034,3223100
2019-10-18,93.730003,94.669998,93.690002,94.529999,93.526390,2492100
2019-10-21,94.650002,95.290001,94.410004,95.250000,94.238747,2591900
2019-10-22,95.459999,95.489998,94.790001,94.970001,93.961723,2644200
2019-10-23,95.110001,95.269997,94.430000,95.180000,94.169487,3020200
2019-10-24,95.370003,95.370003,94.709999,94.940002,93.932037,3148800
2019-10-25,94.879997,94.989998,93.949997,94.129997,93.130630,4184600
2019-10-28,94.129997,94.129997,93.449997,93.559998,92.566689,4897400
2019-10-29,93.720001,94.389999,93.599998,94.129997,93.130630,5512200
2019-10-30,94.019997,94.529999,93.470001,94.470001,93.467026,3861400
2019-10-31,94.669998,94.760002,93.949997,94.300003,93.298836,4723500
2019-11-01,94.410004,94.790001,93.449997,94.279999,93.279045,6520400
2019-11-04,94.250000,94.279999,93.419998,93.620003,92.626053,3878100
2019-11-05,93.349998,93.349998,91.669998,92.029999,91.052933,9141700
2019-11-06,92.220001,92.669998,92.019997,92.230003,91.250809,4500400
2019-11-07,91.980003,92.080002,90.980003,91.309998,90.340576,4945300
2019-11-08,91.209999,91.699997,90.910004,91.089996,90.122910,7330200
2019-11-11,91.099998,91.580002,91.000000,91.290001,90.320793,3525200
2019-11-12,91.320000,91.879997,90.519997,90.599998,89.638115,5701600
2019-11-13,90.699997,91.589996,90.650002,91.430000,90.459305,4316000
2019-11-14,91.599998,92.160004,91.500000,92.139999,91.161766,5136200
2019-11-15,92.290001,92.669998,92.050003,92.639999,91.656456,2785200
2019-11-18,92.769997,93.500000,92.709999,93.089996,92.101677,3251900
2019-11-19,93.339996,93.519997,93.000000,93.250000,92.259979,4065100
2019-11-20,93.320000,93.480003,92.790001,93.199997,92.210510,5698800
2019-11-21,92.949997,93.010002,91.860001,91.889999,90.914421,5002900
2019-11-22,92.059998,92.129997,91.050003,91.550003,90.578033,5112000
2019-11-25,91.739998,92.370003,91.739998,91.839996,90.864944,5183500
2019-11-26,92.040001,93.110001,91.949997,93.059998,92.071991,4858500
2019-11-27,93.059998,93.550003,92.779999,93.500000,92.507324,4121600
2019-11-29,93.500000,93.849998,93.029999,93.070000,92.081894,3531100
2019-12-02,92.699997,93.019997,91.610001,91.660004,90.686867,9430800
2019-12-03,91.620003,92.370003,91.540001,92.250000,91.270599,4762900
2019-12-04,92.070000,92.970001,91.970001,92.629997,91.646561,4129800
2019-12-05,92.610001,92.720001,92.160004,92.680000,91.696030,4846800
2019-12-06,92.650002,93.370003,92.650002,92.870003,91.884018,4486000
2019-12-09,93.000000,93.220001,92.610001,93.050003,92.062103,3961000
2019-12-10,93.080002,93.279999,92.300003,92.510002,91.527840,5227100
2019-12-11,92.580002,92.610001,91.290001,91.570000,90.597816,5112100
2019-12-12,91.580002,91.910004,90.199997,90.330002,89.370979,7923900
2019-12-13,90.370003,90.800003,89.680000,90.349998,89.390770,6814200
2019-12-16,90.610001,91.199997,89.980003,91.000000,90.033867,5185200
2019-12-17,91.279999,91.320000,89.989998,90.139999,89.182999,9649900
2019-12-18,89.220001,90.519997,89.220001,90.269997,90.269997,6340700
2019-12-19,90.230003,91.120003,90.129997,91.070000,91.070000,6117400
2019-12-20,91.320000,91.970001,91.250000,91.570000,91.570000,9514600
2019-12-23,92.050003,92.050003,91.019997,91.110001,91.110001,5369100
2019-12-24,91.330002,91.510002,91.000000,91.349998,91.349998,1962000
2019-12-26,91.419998,91.769997,91.290001,91.750000,91.750000,2243900
2019-12-27,91.959999,92.180000,91.699997,92.040001,92.040001,4195900
2019-12-30,91.889999,92.209999,91.620003,92.129997,92.129997,3466500
2019-12-31,92.089996,92.830002,92.000000,92.790001,92.790001,4649500
2020-01-02,93.190002,93.239998,91.099998,91.699997,91.699997,5106600
